序號,分區,認養場地,認養機關團體
1,東區,金山六街10巷38號旁綠地,奕葉國際有限公司
2,北區,福林里親子公園,新竹市北區福林里
3,東區,新竹市後站公園,新竹市後站發展促進會
4,東區,親子公園,新竹市深耕關懷協會
5,東區,愛民公園,新竹市深耕關懷協會
6,東區,民享公園,新竹市深耕關懷協會
7,東區,科學園路公園,新竹市深耕關懷協會
8,北區,康樂公園,康樂里里辦公處
9,北區,台溪公園,安興建設股份有限公司
10,北區,北新公園,中雅里辦公室
11,北區,凌雲公園,中雅里辦公室
12,香山區,頂福公園,頂福里辦公室
13,東區,光武段1065號,臺億建築經理股份有限公司
14,東區,建功一路59巷26號前綠地,蒲公英幼兒園
15,東區,櫻花公園,世界先進積體電路股份有限公司
16,香山區,港南小公園,新竹市港南好鄰居關懷協會
17,東區,南湖段1068號,新竹市寶山聖母功德會
18,北區,長和公園,新民里辦公處
19,東區,忠孝公園,東園里辦公處
20,東區,綠光公園,東園里辦公處
21,北區,金雅段317、321地號_近金雅西街80巷,林易里先生
22,東區,東南公園_光復段地號693-2號,台灣基督長老教會馬偕醫療財團法人
23,北區,中山段二小段55-3_北大路201號,興築建設股份有限公司
24,東區,新竹公園_部B-域櫻花維護管理,新竹市育櫻會楊根棟
25,風景區,水資源公園,新竹市槌球運動推廣協會洪建雄
26,風景區,紅樹林公園,新竹市社區環境關懷協會
27,北區,南寮運動公園足球場,新竹市社區足球發展協會
